Symbol,Date,Open,High,Low,Close,Volume
GOOG,8/2/2023,129.839996,130.419998,127.849998,128.639999,22705800
BTC-USD,9/17/2023,26567.92773,26617.99805,26445.07422,26534.1875,6774210670
LULU,6/23/2023,374.100006,377.299988,372.459991,374.25,3262900
BTC-USD,7/20/2023,29915.25,30195.53125,29638.0957,29792.01563,14655207121
GOOG,8/14/2023,129.850006,131.910004,129.589996,131.830002,17526200
TSLA,5/23/2023,186.199997,192.960007,185.259995,185.770004,156952100
BTC-USD,5/12/2023,26987.66211,27055.64648,25878.42969,26804.99023,19313599897
BTC-USD,5/14/2023,26788.97461,27150.97656,26661.35547,26930.63867,10014858959
GOOG,8/28/2023,132.080002,133.240005,130.850006,131.789993,16715500
BTC-USD,9/9/2023,25905.42578,25921.97656,25810.49414,25895.67773,5481314132
BTC-USD,1/3/2024,44961.60156,45503.24219,40813.53516,42848.17578,46342323118
BTC-USD,9/6/2023,25783.93164,25953.01563,25404.35938,25753.23633,12752705327
LULU,4/13/2023,365.869995,366.859985,363.5,364.380005,1202400
BTC-USD,5/16/2023,27171.51367,27299.30469,26878.94727,27036.65039,12732238816
GOOGL,11/7/2023,130.710007,131.910004,129.880005,130.970001,29757300
GOOGL,8/29/2023,132.240005,136.570007,132.240005,134.570007,43075600
GOOGL,10/5/2023,135.070007,135.490005,133.449997,135.070007,19832600
BTC-USD,7/27/2023,29353.79883,29560.9668,29099.35156,29210.68945,10770779217
GOOGL,9/21/2023,131.440002,132.229996,130.070007,130.440002,31488700
GOOGL,7/3/2023,119.239998,120.190002,118.82,119.900002,14467900
LULU,12/4/2023,459.200012,463.369995,452.230011,460.76001,2637100
BTC-USD,12/7/2023,43769.13281,44042.58984,42880.64844,43292.66406,27635760671
GOOGL,4/4/2023,104.330002,105.580002,104.040001,104.720001,24420100
LULU,1/24/2024,477,480.959991,472.670013,474.839996,1399400
GOOG,5/9/2023,108.779999,110.595001,107.724998,107.940002,24782400
TSLA,2/21/2024,193.360001,199.440002,191.949997,194.770004,103844000
GOOG,2/23/2024,144.970001,145.955002,144.789993,145.289993,14519400
TSLA,2/29/2024,204.179993,205.279999,198.449997,201.880005,85907000
GOOG,6/20/2023,123.535004,125.175003,122.830002,123.849998,22698000
BTC-USD,10/7/2023,27946.78125,28028.0918,27870.42383,27968.83984,6553044316
LULU,4/11/2023,362.75,368.940002,361.799988,365.809998,1329300
GOOG,8/16/2023,129.279999,130.897995,128.460007,129.110001,17548400
GOOG,5/18/2023,121.559998,123.900002,121.489998,123.519997,27014500
LULU,1/17/2024,469.179993,469.579987,462.839996,468.399994,1347000
LULU,5/4/2023,383.119995,384.730011,381.019989,382.059998,1481700
GOOGL,6/1/2023,122.82,124.419998,122.620003,123.720001,30772700
BTC-USD,9/20/2023,27210.22852,27379.50586,26864.08203,27132.00781,13281116604
LULU,9/12/2023,396.269989,400.429993,387.179993,388.119995,1102000
GOOG,2/13/2024,146.070007,148.039993,145.110001,146.369995,18138500
LULU,10/30/2023,388.440002,393.269989,387.75,391.75,1005200
BTC-USD,4/20/2023,28823.68359,29076.40039,28037.25781,28245.98828,21340360360
BTC-USD,8/4/2023,29174.38281,29302.07813,28885.33594,29074.0918,12036639988
LULU,12/11/2023,493.950012,507.440002,490,502.73999,2799000
TSLA,7/19/2023,296.040009,299.290009,289.519989,291.26001,142355400
LULU,5/11/2023,378.75,379.660004,376.049988,377.320007,775800
BTC-USD,12/24/2023,43728.36719,43945.52344,42786.91797,43016.11719,18830554085
TSLA,11/30/2023,245.139999,245.220001,236.910004,240.080002,132353200
LULU,5/3/2023,381.529999,387.679993,378.380005,383.119995,1279600
GOOG,10/11/2023,139.850006,142.220001,139.839996,141.699997,20146300
TSLA,9/20/2023,267.040009,273.929993,262.459991,262.589996,122514600
LULU,3/12/2024,459.480011,467.859985,458.559998,465.279999,841200
BTC-USD,4/13/2023,29892.74023,30539.8457,29878.62305,30399.06641,17487721001
LULU,1/26/2024,475,484.309998,470.649994,478.029999,1128700
GOOG,8/10/2023,131.970001,132.647003,130.035004,130.210007,17855700
BTC-USD,3/14/2024,73079.375,73750.07031,68563.02344,71396.59375,59594605698
GOOG,11/28/2023,137.630005,138.660004,137.039993,138.619995,17046900
LULU,11/13/2023,410.480011,418.609985,409.799988,416.980011,1277100
GOOG,9/18/2023,137.630005,139.929993,137.630005,138.960007,16233600
TSLA,8/11/2023,241.770004,243.789993,238.020004,242.649994,98866600
GOOGL,11/24/2023,138.029999,138.130005,135.990005,136.690002,12514300
BTC-USD,11/29/2023,37826.10547,38366.11328,37612.63281,37858.49219,20728546658
TSLA,5/15/2023,167.660004,169.759995,164.550003,166.350006,105592500
TSLA,3/12/2024,177.770004,179.429993,172.410004,177.539993,87391700
TSLA,3/7/2024,174.350006,180.039993,173.699997,178.649994,102129000
GOOGL,2/20/2024,139.660004,142.080002,139.490005,141.119995,25144700
BTC-USD,12/10/2023,43728.38281,44034.625,43593.28516,43779.69922,13000481418
TSLA,4/21/2023,164.800003,166,161.320007,165.080002,123539000
TSLA,2/12/2024,192.110001,194.729996,187.279999,188.130005,95498600
GOOGL,7/18/2023,124.599998,124.68,122.959999,123.760002,26226400
BTC-USD,3/9/2024,68299.25781,68673.05469,68053.125,68498.88281,21609650379
LULU,9/18/2023,391.700012,391.98999,381.679993,382.809998,1178000
LULU,2/23/2024,458.5,462.820007,454.220001,457.890015,862300
GOOGL,4/5/2023,105.779999,106.099998,103.660004,104.470001,28290500
LULU,11/29/2023,429.200012,439.76001,428.600006,438.350006,1658800
GOOGL,10/2/2023,131.210007,134.419998,131.169998,134.169998,22288000
LULU,1/12/2024,488.079987,490.839996,479.089996,479.940002,1050100
BTC-USD,11/20/2023,37374.07422,37756.82031,36882.53125,37476.95703,20888209068
GOOG,2/7/2024,146.119995,147,145.210007,146.679993,21436100
TSLA,1/4/2024,239.25,242.699997,237.729996,237.929993,102629300
TSLA,6/28/2023,249.699997,259.880005,248.889999,256.23999,159770800
BTC-USD,6/2/2023,26824.55664,27303.86133,26574.64453,27249.58984,14837415000
GOOG,9/13/2023,135.899994,137.699997,134.929993,137.5,16394900
TSLA,8/16/2023,228.020004,233.970001,225.380005,225.600006,112484500
TSLA,11/9/2023,219.75,220.800003,206.679993,209.979996,142110500
LULU,6/8/2023,354.019989,355.269989,350.899994,354.950012,1367200
LULU,11/8/2023,415,415.149994,409.320007,409.640015,714500
GOOGL,7/12/2023,118.800003,120.330002,118.410004,118.93,30404400
GOOGL,2/27/2024,138.020004,139.25,137.089996,138.880005,33099200
GOOGL,8/8/2023,130.619995,131.509995,129.539993,131.399994,23535200
GOOGL,2/29/2024,137.279999,138.860001,136.399994,138.460007,42133000
GOOGL,1/5/2024,136.75,137.160004,135.149994,135.729996,22506000
